day,month,year,class_name,location,time_of_day,duration
14,August,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",8:00pm,30
14,August,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",7:00pm,60
14,August,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
14,August,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
12,August,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
12,August,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
7,August,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
7,August,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
7,August,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
5,August,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
5,August,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
31,July,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
31,July,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
29,July,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
29,July,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
27,July,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
25,July,2024,Fighting Mastery™,Valente Brothers Jujutsu North Miami Beach w/ Pedro Valente,10:00am EDT,60
17,July,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
17,July,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
15,July,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
15,July,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
13,July,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
10,July,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
10,July,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
10,July,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
3,July,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
3,July,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
2,July,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",7:00pm,60
1,July,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
1,July,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
26,June,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
26,June,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
24,June,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
24,June,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
19,June,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
19,June,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
17,June,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
17,June,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
15,June,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
12,June,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
12,June,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
10,June,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
10,June,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
8,June,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
6,June,2024,Striking and Clinching,"Cantu's Self-Defense, LLC. w/ Roy Cantu",7:00pm,60
5,June,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
5,June,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
3,June,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
3,June,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
1,June,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
31,May,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:00pm,45
30,May,2024,Striking and Clinching,"Cantu's Self-Defense, LLC. w/ Roy Cantu",7:00pm,60
29,May,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",8:00pm,30
29,May,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",7:00pm,60
29,May,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
29,May,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
22,May,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
22,May,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
20,May,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
20,May,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
15,May,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
15,May,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
13,May,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
11,May,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
4,May,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
1,May,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
29,April,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
27,April,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
24,April,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
24,April,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
22,April,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
22,April,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
20,April,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
17,April,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
