day,month,year,category,class_name,location,time_of_day,duration
29,August,2024,Martial arts,Striking and Clinching,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
26,August,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
26,August,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
21,August,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
21,August,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
21,August,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
21,August,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
21,August,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
19,August,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
19,August,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
17,August,2024,Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
14,August,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
14,August,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
14,August,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
14,August,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
12,August,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
12,August,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
7,August,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
7,August,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
7,August,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
5,August,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
5,August,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
31,July,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
31,July,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
29,July,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
29,July,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
27,July,2024,Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
25,July,2024,Martial arts,Fighting Mastery™,Valente Brothers Jujutsu North Miami Beach w/ Pedro Valente,Unknown,0 days 01:00:00
17,July,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
17,July,2024,Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00
15,July,2024,Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00
